LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT,WINNERS
Ultra Lotto 6/58,11-37-44-33-13-28,10/22/2023,57271281.80,0
Superlotto 6/49,13-08-38-44-31-11,10/22/2023,15840000.00,0
3D Lotto 2PM,39208,10/22/2023,4500.00,354
3D Lotto 5PM,6 04 2006,10/22/2023,4500.00,180
3D Lotto 9PM,7 04 2003,10/22/2023,4500.00,327
2D Lotto 2PM,12 Sep,10/22/2023,4000.00,538
2D Lotto 5PM,31 Mar,10/22/2023,4000.00,44
2D Lotto 9PM,14 Feb,10/22/2023,4000.00,218
Grand Lotto 6/55,04-42-44-49-39-21,10/21/2023,42610676.00,0
Lotto 6/42,03-22-02-17-14-39,10/21/2023,15027455.60,0
6D Lotto,2-2-0-8-7-4,10/21/2023,150000.00,0
3D Lotto 2PM,6 01 2005,10/21/2023,4500.00,339
3D Lotto 5PM,9 04 2001,10/21/2023,4500.00,219
3D Lotto 9PM,4 05 2001,10/21/2023,4500.00,592
2D Lotto 2PM,6 Jun,10/21/2023,4000.00,794
2D Lotto 5PM,22-19,10/21/2023,4000.00,85
2D Lotto 9PM,11 May,10/21/2023,4000.00,985
Ultra Lotto 6/58,25-54-48-50-37-29,10/20/2023,52222306.80,0
Megalotto 6/45,15-36-30-37-05-17,10/20/2023,20644286.40,0
4D Lotto,5-4-6-1,10/20/2023,42199.00,23
3D Lotto 2PM,1 03 2003,10/20/2023,4500.00,390
3D Lotto 5PM,7 02 2001,10/20/2023,4500.00,283
3D Lotto 9PM,0-9-9,10/20/2023,4500.00,294
2D Lotto 2PM,7 Aug,10/20/2023,4000.00,414
2D Lotto 5PM,25-23,10/20/2023,4000.00,95
2D Lotto 9PM,May 21,10/20/2023,4000.00,784
Superlotto 6/49,26-31-41-14-05-10,10/19/2023,15840000.00,1
Lotto 6/42,11-08-25-05-34-16,10/19/2023,10911401.20,0
6D Lotto,0-8-2-7-5-7,10/19/2023,1258061.00,1
3D Lotto 2PM,6 08 2000,10/19/2023,4500.00,281
3D Lotto 5PM,0-5-1,10/19/2023,4500.00,408
3D Lotto 9PM,0-5-0,10/19/2023,4500.00,592
2D Lotto 2PM,26 Feb,10/19/2023,4000.00,77
2D Lotto 5PM,Jun 20,10/19/2023,4000.00,227
2D Lotto 9PM,30-23,10/19/2023,4000.00,148
Grand Lotto 6/55,12-34-03-29-15-40,10/18/2023,38046781.60,0
Megalotto 6/45,36-29-04-26-34-15,10/18/2023,16200622.40,0
4D Lotto,3-7-5-3,10/18/2023,61168.00,15
3D Lotto 2PM,1 07 2001,10/18/2023,4500.00,484
3D Lotto 5PM,1 02 2000,10/18/2023,4500.00,592
3D Lotto 9PM,3 07 2003,10/18/2023,4500.00,375
2D Lotto 2PM,Jun 27,10/18/2023,4000.00,242
2D Lotto 5PM,Nov 26,10/18/2023,4000.00,329
2D Lotto 9PM,5 Mar,10/18/2023,4000.00,431
Ultra Lotto 6/58,51-48-44-05-14-12,10/17/2023,49500000.00,0
Superlotto 6/49,02-20-33-32-13-48,10/17/2023,15840000.00,0
Lotto 6/42,38-14-22-21-40-30,10/17/2023,7176994.40,0
6D Lotto,7-7-6-1-5-1,10/17/2023,1208061.00,0
3D Lotto 2PM,3 01 2004,10/17/2023,4500.00,592
3D Lotto 5PM,1-0-4,10/17/2023,4500.00,536
3D Lotto 9PM,3 04 2006,10/17/2023,4500.00,431
2D Lotto 2PM,Aug 22,10/17/2023,4000.00,463
2D Lotto 5PM,14-15,10/17/2023,4000.00,96
