,LOTTO GAME,DRAW DATE,JACKPOT (PHP),WINNERS,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
0,Ultra Lotto 6/58,22 10 2023,"57,271,281.80",0,11,37,44,33,13,28
1,Superlotto 6/49,22 10 2023,"15,840,000.00",0,13,8,38,44,31,11
8,Grand Lotto 6/55,21 10 2023,"42,610,676.00",0,4,42,44,49,39,21
9,Lotto 6/42,21 10 2023,"15,027,455.60",0,3,22,2,17,14,39
17,Ultra Lotto 6/58,20 10 2023,"52,222,306.80",0,25,54,48,50,37,29
18,Megalotto 6/45,20 10 2023,"20,644,286.40",0,15,36,30,37,5,17
26,Superlotto 6/49,19 10 2023,"15,840,000.00",1,26,31,41,14,5,10
27,Lotto 6/42,19 10 2023,"10,911,401.20",0,11,8,25,5,34,16
35,Grand Lotto 6/55,18 10 2023,"38,046,781.60",0,12,34,3,29,15,40
36,Megalotto 6/45,18 10 2023,"16,200,622.40",0,36,29,4,26,34,15
44,Ultra Lotto 6/58,17 10 2023,"49,500,000.00",0,51,48,44,5,14,12
45,Superlotto 6/49,17 10 2023,"15,840,000.00",0,2,20,33,32,13,48
46,Lotto 6/42,17 10 2023,"7,176,994.40",0,38,14,22,21,40,30
54,Grand Lotto 6/55,16 10 2023,"33,691,151.60",0,11,48,25,2,30,38
55,Megalotto 6/45,16 10 2023,"12,050,940.00",0,4,15,45,44,40,8
63,Ultra Lotto 6/58,15 10 2023,"49,500,000.00",0,56,53,40,6,35,42
64,Superlotto 6/49,15 10 2023,"147,354,716.40",1,47,35,2,13,38,17
71,Grand Lotto 6/55,14 10 2023,"29,700,000.00",0,55,37,9,26,10,43
72,Lotto 6/42,14 10 2023,"5,940,000.00",0,23,16,26,37,25,41
80,Ultra Lotto 6/58,13 10 2023,"49,500,000.00",0,34,51,20,55,23,2
81,Megalotto 6/45,13 10 2023,"8,910,000.00",0,18,11,32,19,39,33
89,Superlotto 6/49,12 10 2023,"136,165,815.60",0,25,39,2,33,26,22
90,Lotto 6/42,12 10 2023,"34,562,804.20",1,13,41,6,25,34,42
98,Grand Lotto 6/55,11 10 2023,"29,700,000.00",0,14,7,37,20,47,43
99,Megalotto 6/45,11 10 2023,"8,910,000.00",0,41,12,13,6,31,5
107,Ultra Lotto 6/58,10 10 2023,"49,500,000.00",0,16,57,27,28,24,47
108,Superlotto 6/49,10 10 2023,"126,631,688.80",0,3,14,26,13,17,39
109,Lotto 6/42,10 10 2023,"29,940,313.00",0,39,13,41,4,1,3
117,Grand Lotto 6/55,9 10 2023,"29,700,000.00",0,3,30,5,6,2,14
118,Megalotto 6/45,9 10 2023,"81,039,037.20",3,34,41,11,1,10,7
126,Ultra Lotto 6/58,8 10 2023,"49,500,000.00",0,19,16,33,13,10,47
127,Superlotto 6/49,8 10 2023,"118,184,111.20",0,47,43,35,20,29,13
134,Grand Lotto 6/55,7 10 2023,"29,700,000.00",0,46,29,17,54,30,50
135,Lotto 6/42,7 10 2023,"25,911,745.20",0,42,28,21,38,8,17
143,Ultra Lotto 6/58,6 10 2023,"49,500,000.00",0,19,30,6,29,43,48
144,Megalotto 6/45,6 10 2023,"74,014,064.40",0,9,45,25,38,26,34
152,Superlotto 6/49,5 10 2023,"109,025,555.20",0,37,20,41,5,46,35
153,Lotto 6/42,5 10 2023,"21,249,596.40",0,25,24,26,35,21,42
161,Grand Lotto 6/55,4 10 2023,"29,700,000.00",0,50,39,30,40,33,18
162,Megalotto 6/45,4 10 2023,"67,396,202.60",0,25,2,43,30,32,42
170,Ultra Lotto 6/58,3 10 2023,"49,500,000.00",0,45,32,11,19,35,34
