,LOTTO GAME,DRAW DATE,JACKPOT,WINNERS,DAY,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
8,Grand Lotto 6/55,2023-10-21,42610676.0,0,Saturday,4,42,44,49,39,21
35,Grand Lotto 6/55,2023-10-18,38046781.6,0,Wednesday,12,34,3,29,15,40
54,Grand Lotto 6/55,2023-10-16,33691151.6,0,Monday,11,48,25,2,30,38
71,Grand Lotto 6/55,2023-10-14,29700000.0,0,Saturday,55,37,9,26,10,43
98,Grand Lotto 6/55,2023-10-11,29700000.0,0,Wednesday,14,7,37,20,47,43
117,Grand Lotto 6/55,2023-10-09,29700000.0,0,Monday,3,30,5,6,2,14
134,Grand Lotto 6/55,2023-10-07,29700000.0,0,Saturday,46,29,17,54,30,50
161,Grand Lotto 6/55,2023-10-04,29700000.0,0,Wednesday,50,39,30,40,33,18
180,Grand Lotto 6/55,2023-10-02,29700000.0,0,Monday,47,2,4,44,54,25
197,Grand Lotto 6/55,2023-09-30,29700000.0,0,Saturday,11,40,3,53,44,38
224,Grand Lotto 6/55,2023-09-27,29700000.0,0,Wednesday,18,35,36,34,20,21
243,Grand Lotto 6/55,2023-09-25,36025867.4,1,Monday,30,17,6,12,4,29
260,Grand Lotto 6/55,2023-09-23,32474564.6,0,Saturday,39,52,45,22,11,17
287,Grand Lotto 6/55,2023-09-20,29700000.0,0,Wednesday,3,31,28,37,55,25
306,Grand Lotto 6/55,2023-09-18,29700000.0,0,Monday,9,2,26,49,22,30
323,Grand Lotto 6/55,2023-09-16,29700000.0,0,Saturday,9,27,44,49,11,24
350,Grand Lotto 6/55,2023-09-13,29700000.0,0,Wednesday,45,23,11,13,46,4
369,Grand Lotto 6/55,2023-09-11,29700000.0,0,Monday,31,54,29,52,24,12
386,Grand Lotto 6/55,2023-09-09,29700000.0,0,Saturday,42,32,54,44,11,39
413,Grand Lotto 6/55,2023-09-06,29700000.0,0,Wednesday,50,48,2,55,46,9
432,Grand Lotto 6/55,2023-09-04,111039686.0,1,Monday,55,50,6,45,12,40
449,Grand Lotto 6/55,2023-09-02,103523966.8,0,Saturday,10,2,17,4,35,51
476,Grand Lotto 6/55,2023-08-30,96492013.2,0,Wednesday,12,4,48,6,43,55
495,Grand Lotto 6/55,2023-08-28,90060945.2,0,Monday,41,17,7,51,39,46
512,Grand Lotto 6/55,2023-08-26,85160345.0,0,Saturday,42,28,30,34,33,1
539,Grand Lotto 6/55,2023-08-23,79392769.8,0,Wednesday,18,12,29,7,28,50
558,Grand Lotto 6/55,2023-08-21,74343965.4,0,Monday,23,25,1,26,14,28
575,Grand Lotto 6/55,2023-08-19,69673192.6,0,Saturday,41,39,14,9,31,4
602,Grand Lotto 6/55,2023-08-16,63909024.2,0,Wednesday,7,11,6,15,49,12
621,Grand Lotto 6/55,2023-08-14,59204304.2,0,Monday,4,3,33,7,20,22
638,Grand Lotto 6/55,2023-08-12,54832296.2,0,Saturday,54,55,26,45,43,24
665,Grand Lotto 6/55,2023-08-09,49642026.4,0,Wednesday,16,1,6,34,2,38
684,Grand Lotto 6/55,2023-08-07,45317102.0,0,Monday,51,1,43,13,18,53
701,Grand Lotto 6/55,2023-08-05,41184730.2,0,Saturday,43,15,2,33,16,25
728,Grand Lotto 6/55,2023-08-02,36680029.4,0,Wednesday,46,38,43,4,8,17
747,Grand Lotto 6/55,2023-07-31,32618377.6,0,Monday,11,36,23,34,15,27
764,Grand Lotto 6/55,2023-07-29,29700000.0,0,Saturday,3,24,19,1,17,11
791,Grand Lotto 6/55,2023-07-26,29700000.0,0,Wednesday,54,2,3,21,13,6
810,Grand Lotto 6/55,2023-07-24,29700000.0,0,Monday,49,55,20,52,36,47
827,Grand Lotto 6/55,2023-07-22,29700000.0,0,Saturday,15,38,23,28,3,49
854,Grand Lotto 6/55,2023-07-19,29700000.0,0,Wednesday,48,28,17,55,47,22
873,Grand Lotto 6/55,2023-07-17,29700000.0,0,Monday,55,35,42,23,11,1
890,Grand Lotto 6/55,2023-07-15,29700000.0,0,Saturday,34,46,48,23,21,30
917,Grand Lotto 6/55,2023-07-12,29700000.0,1,Wednesday,19,32,25,12,17,36
936,Grand Lotto 6/55,2023-07-10,29700000.0,0,Monday,28,40,38,35,19,52
953,Grand Lotto 6/55,2023-07-08,29700000.0,0,Saturday,48,24,2,12,42,43
980,Grand Lotto 6/55,2023-07-05,58983172.2,1,Wednesday,5,1,27,26,44,11
999,Grand Lotto 6/55,2023-07-03,53301641.2,0,Monday,20,22,52,54,33,30
1016,Grand Lotto 6/55,2023-07-01,47791236.2,0,Saturday,21,26,15,48,35,30
1043,Grand Lotto 6/55,2023-06-28,43318185.8,0,Wednesday,47,45,41,6,37,48
1062,Grand Lotto 6/55,2023-06-26,38433664.0,0,Monday,28,10,1,35,30,48
1079,Grand Lotto 6/55,2023-06-24,34139292.2,0,Saturday,10,18,33,39,23,11
1106,Grand Lotto 6/55,2023-06-21,30087693.6,0,Wednesday,11,4,43,36,51,18
1125,Grand Lotto 6/55,2023-06-19,29700000.0,0,Monday,20,13,19,43,24,15
1142,Grand Lotto 6/55,2023-06-17,29700000.0,0,Saturday,18,15,43,25,34,19
1169,Grand Lotto 6/55,2023-06-14,29700000.0,0,Wednesday,30,14,5,27,34,42
1188,Grand Lotto 6/55,2023-06-12,29700000.0,0,Monday,54,22,23,49,42,41
1205,Grand Lotto 6/55,2023-06-10,29700000.0,0,Saturday,19,27,28,5,33,10
1232,Grand Lotto 6/55,2023-06-07,29700000.0,0,Wednesday,17,20,29,2,22,39
1251,Grand Lotto 6/55,2023-06-05,29700000.0,1,Monday,11,17,28,6,9,1
1268,Grand Lotto 6/55,2023-06-03,29700000.0,0,Saturday,4,13,51,37,34,1
1295,Grand Lotto 6/55,2023-05-31,29700000.0,0,Wednesday,2,39,53,49,27,55
1314,Grand Lotto 6/55,2023-05-29,29700000.0,0,Monday,48,24,47,39,33,15
1331,Grand Lotto 6/55,2023-05-27,29700000.0,0,Saturday,45,8,40,2,15,19
1358,Grand Lotto 6/55,2023-05-24,29700000.0,0,Wednesday,48,10,18,42,30,54
1377,Grand Lotto 6/55,2023-05-22,29700000.0,2,Monday,28,32,12,9,18,50
1394,Grand Lotto 6/55,2023-05-20,29700000.0,0,Saturday,1,33,43,53,26,20
1421,Grand Lotto 6/55,2023-05-17,29700000.0,0,Wednesday,46,18,15,8,27,37
1440,Grand Lotto 6/55,2023-05-15,29700000.0,0,Monday,15,18,2,29,16,24
1457,Grand Lotto 6/55,2023-05-13,29700000.0,0,Saturday,9,43,46,51,36,16
1484,Grand Lotto 6/55,2023-05-10,29700000.0,0,Wednesday,42,17,6,8,12,4
1503,Grand Lotto 6/55,2023-05-08,29700000.0,0,Monday,43,14,1,15,33,45
1520,Grand Lotto 6/55,2023-05-06,55394255.4,1,Saturday,4,16,26,24,14,47
1547,Grand Lotto 6/55,2023-05-03,50962526.4,0,Wednesday,19,46,3,34,4,28
1566,Grand Lotto 6/55,2023-05-01,46992471.8,0,Monday,3,11,2,51,31,43
1583,Grand Lotto 6/55,2023-04-29,43376439.0,0,Saturday,53,17,37,13,23,4
1610,Grand Lotto 6/55,2023-04-26,39135210.2,0,Wednesday,5,48,14,9,33,2
1629,Grand Lotto 6/55,2023-04-24,35588603.6,0,Monday,44,26,51,11,21,45
1646,Grand Lotto 6/55,2023-04-22,32137240.0,0,Saturday,53,2,5,41,9,51
1673,Grand Lotto 6/55,2023-04-19,29700000.0,0,Wednesday,20,2,52,13,44,45
1692,Grand Lotto 6/55,2023-04-17,29700000.0,0,Monday,29,13,53,27,54,23
1709,Grand Lotto 6/55,2023-04-15,29700000.0,0,Saturday,51,19,41,14,35,20
1736,Grand Lotto 6/55,2023-04-12,29700000.0,0,Wednesday,7,10,9,55,28,18
1755,Grand Lotto 6/55,2023-04-10,29700000.0,0,Monday,23,28,25,24,36,30
1764,Grand Lotto 6/55,2023-04-05,29700000.0,0,Wednesday,5,15,43,6,22,18
1783,Grand Lotto 6/55,2023-04-03,29700000.0,0,Monday,21,37,33,34,55,25
1800,Grand Lotto 6/55,2023-04-01,29700000.0,0,Saturday,5,33,49,47,28,42
1827,Grand Lotto 6/55,2023-03-29,34123859.0,1,Wednesday,26,23,34,41,45,29
1846,Grand Lotto 6/55,2023-03-27,30381854.6,0,Monday,36,38,47,43,28,15
1863,Grand Lotto 6/55,2023-03-25,29700000.0,0,Saturday,49,53,3,31,22,8
1890,Grand Lotto 6/55,2023-03-22,29700000.0,0,Wednesday,25,50,49,38,21,19
1909,Grand Lotto 6/55,2023-03-20,29700000.0,0,Monday,7,50,38,34,51,22
1926,Grand Lotto 6/55,2023-03-18,29700000.0,0,Saturday,26,3,43,10,54,14
1953,Grand Lotto 6/55,2023-03-15,29700000.0,0,Wednesday,1,24,39,6,53,40
1972,Grand Lotto 6/55,2023-03-13,29700000.0,0,Monday,16,21,25,29,15,6
1989,Grand Lotto 6/55,2023-03-11,29700000.0,1,Saturday,45,29,12,3,26,51
2016,Grand Lotto 6/55,2023-03-08,29700000.0,0,Wednesday,48,36,42,55,11,22
2035,Grand Lotto 6/55,2023-03-06,29700000.0,0,Monday,14,29,9,6,38,15
2052,Grand Lotto 6/55,2023-03-04,29700000.0,0,Saturday,53,48,40,23,24,2
2079,Grand Lotto 6/55,2023-03-01,29700000.0,0,Wednesday,8,26,17,41,37,49
2098,Grand Lotto 6/55,2023-02-27,75248476.2,1,Monday,9,8,5,1,30,52
2115,Grand Lotto 6/55,2023-02-25,69632781.8,0,Saturday,44,32,31,41,29,46
2142,Grand Lotto 6/55,2023-02-22,64384899.6,0,Wednesday,34,33,50,17,27,13
2161,Grand Lotto 6/55,2023-02-20,58915919.6,0,Monday,15,20,8,28,19,5
2178,Grand Lotto 6/55,2023-02-18,54207976.6,0,Saturday,55,44,3,14,41,16
2205,Grand Lotto 6/55,2023-02-15,49321695.2,0,Wednesday,7,25,15,22,44,54
2224,Grand Lotto 6/55,2023-02-13,44552733.0,0,Monday,17,15,40,42,38,51
2241,Grand Lotto 6/55,2023-02-11,39812150.8,0,Saturday,4,25,21,53,23,27
2268,Grand Lotto 6/55,2023-02-08,34820906.0,0,Wednesday,32,19,43,27,29,45
2287,Grand Lotto 6/55,2023-02-06,29999916.2,0,Monday,24,4,40,46,38,21
2304,Grand Lotto 6/55,2023-02-04,29700000.0,0,Saturday,8,17,12,1,35,3
2331,Grand Lotto 6/55,2023-02-01,29700000.0,0,Wednesday,40,8,45,6,23,41
2350,Grand Lotto 6/55,2023-01-30,29700000.0,0,Monday,3,15,27,35,16,51
2367,Grand Lotto 6/55,2023-01-28,29700000.0,0,Saturday,10,34,28,46,4,14
2394,Grand Lotto 6/55,2023-01-25,29700000.0,0,Wednesday,40,30,44,33,51,27
2413,Grand Lotto 6/55,2023-01-23,29700000.0,0,Monday,27,49,7,4,26,33
2430,Grand Lotto 6/55,2023-01-21,29700000.0,1,Saturday,3,44,10,13,23,11
2457,Grand Lotto 6/55,2023-01-18,29700000.0,0,Wednesday,4,52,21,48,15,30
2476,Grand Lotto 6/55,2023-01-16,29700000.0,0,Monday,16,44,36,47,37,13
2493,Grand Lotto 6/55,2023-01-14,29700000.0,0,Saturday,47,34,6,15,51,1
2520,Grand Lotto 6/55,2023-01-11,29700000.0,0,Wednesday,39,43,18,7,29,52
2539,Grand Lotto 6/55,2023-01-09,29700000.0,0,Monday,35,7,11,30,23,55
2556,Grand Lotto 6/55,2023-01-07,142580483.2,2,Saturday,44,13,19,33,27,39
2583,Grand Lotto 6/55,2023-01-04,132308964.8,0,Wednesday,8,49,2,44,7,19
2602,Grand Lotto 6/55,2023-01-02,123065224.8,0,Monday,30,33,54,43,41,32
2611,Grand Lotto 6/55,2022-12-31,115262757.6,0,Saturday,5,35,13,39,27,9
2638,Grand Lotto 6/55,2022-12-28,108934440.0,0,Wednesday,30,25,20,41,17,42
2657,Grand Lotto 6/55,2022-12-26,100532794.0,0,Monday,5,21,20,10,29,50
2666,Grand Lotto 6/55,2022-12-24,93531352.6,0,Saturday,41,47,9,51,21,43
2693,Grand Lotto 6/55,2022-12-21,89533642.4,0,Wednesday,7,14,13,54,30,19
2712,Grand Lotto 6/55,2022-12-19,83661736.8,0,Monday,24,48,8,38,45,11
2729,Grand Lotto 6/55,2022-12-17,78477700.4,0,Saturday,33,38,29,8,13,50
