,LOTTO GAME,DRAW DATE,JACKPOT,WINNERS,DAY,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
9,Lotto 6/42,2023-10-21,15027455.6,0,Saturday,3,22,2,17,14,39
27,Lotto 6/42,2023-10-19,10911401.2,0,Thursday,11,8,25,5,34,16
46,Lotto 6/42,2023-10-17,7176994.4,0,Tuesday,38,14,22,21,40,30
72,Lotto 6/42,2023-10-14,5940000.0,0,Saturday,23,16,26,37,25,41
90,Lotto 6/42,2023-10-12,34562804.2,1,Thursday,13,41,6,25,34,42
109,Lotto 6/42,2023-10-10,29940313.0,0,Tuesday,39,13,41,4,1,3
135,Lotto 6/42,2023-10-07,25911745.2,0,Saturday,42,28,21,38,8,17
153,Lotto 6/42,2023-10-05,21249596.4,0,Thursday,25,24,26,35,21,42
172,Lotto 6/42,2023-10-03,17407569.2,0,Tuesday,5,10,42,8,13,20
198,Lotto 6/42,2023-09-30,14014890.4,0,Saturday,38,10,29,32,39,42
216,Lotto 6/42,2023-09-28,9823403.2,0,Thursday,42,11,20,28,22,5
235,Lotto 6/42,2023-09-26,6657027.2,0,Tuesday,8,32,34,28,10,35
261,Lotto 6/42,2023-09-23,5940000.0,0,Saturday,13,36,27,38,15,22
279,Lotto 6/42,2023-09-21,21966450.2,1,Thursday,25,10,14,17,19,42
298,Lotto 6/42,2023-09-19,18121104.2,0,Tuesday,33,34,24,4,11,5
324,Lotto 6/42,2023-09-16,14713518.6,0,Saturday,30,39,4,32,42,29
342,Lotto 6/42,2023-09-14,10586627.0,0,Thursday,6,27,3,13,35,4
361,Lotto 6/42,2023-09-12,7058280.2,0,Tuesday,17,14,3,26,33,5
387,Lotto 6/42,2023-09-09,5940000.0,0,Saturday,19,11,9,3,41,35
405,Lotto 6/42,2023-09-07,36257127.4,1,Thursday,3,31,15,19,10,27
424,Lotto 6/42,2023-09-05,31058851.4,0,Tuesday,32,21,27,25,13,40
450,Lotto 6/42,2023-09-02,26517289.8,0,Saturday,29,11,32,34,23,22
468,Lotto 6/42,2023-08-31,22056462.8,0,Thursday,10,29,6,7,11,21
487,Lotto 6/42,2023-08-29,17785004.0,0,Tuesday,1,4,15,10,34,39
513,Lotto 6/42,2023-08-26,14187192.4,0,Saturday,12,32,41,23,40,22
531,Lotto 6/42,2023-08-24,10410422.6,0,Thursday,19,31,36,8,21,38
550,Lotto 6/42,2023-08-22,6796188.0,0,Tuesday,21,18,10,24,14,38
576,Lotto 6/42,2023-08-19,5940000.0,0,Saturday,35,8,24,39,25,30
594,Lotto 6/42,2023-08-17,18611973.4,1,Thursday,27,10,36,9,22,7
613,Lotto 6/42,2023-08-15,14070525.2,0,Tuesday,22,17,13,20,18,1
639,Lotto 6/42,2023-08-12,10518904.2,0,Saturday,36,10,24,31,13,12
657,Lotto 6/42,2023-08-10,6746203.0,0,Thursday,15,5,31,18,4,26
676,Lotto 6/42,2023-08-08,5940000.0,0,Tuesday,14,24,36,37,23,41
702,Lotto 6/42,2023-08-05,22896342.8,1,Saturday,34,35,24,20,36,39
720,Lotto 6/42,2023-08-03,18307868.2,0,Thursday,21,16,14,29,6,22
739,Lotto 6/42,2023-08-01,13690185.6,0,Tuesday,25,33,6,42,40,35
765,Lotto 6/42,2023-07-29,9965962.0,0,Saturday,21,13,8,28,12,41
783,Lotto 6/42,2023-07-27,6446797.4,0,Thursday,19,29,12,5,13,34
802,Lotto 6/42,2023-07-25,5940000.0,0,Tuesday,7,12,13,37,36,29
828,Lotto 6/42,2023-07-22,22821402.2,1,Saturday,14,27,19,26,8,38
846,Lotto 6/42,2023-07-20,18132604.2,0,Thursday,28,23,22,18,19,36
865,Lotto 6/42,2023-07-18,14002606.4,0,Tuesday,4,14,18,36,27,7
891,Lotto 6/42,2023-07-15,10393564.6,0,Saturday,36,16,18,35,5,39
909,Lotto 6/42,2023-07-13,6389050.6,0,Thursday,14,38,36,10,2,13
928,Lotto 6/42,2023-07-11,5940000.0,0,Tuesday,23,7,36,19,21,41
954,Lotto 6/42,2023-07-08,7656441.8,1,Saturday,3,28,12,26,8,21
972,Lotto 6/42,2023-07-06,5940000.0,0,Thursday,39,5,29,8,33,41
991,Lotto 6/42,2023-07-04,5940000.0,1,Tuesday,10,19,31,27,18,25
1017,Lotto 6/42,2023-07-01,61234178.2,1,Saturday,18,25,12,14,13,22
1035,Lotto 6/42,2023-06-29,53962120.2,0,Thursday,6,38,9,18,4,37
1054,Lotto 6/42,2023-06-27,46545659.2,0,Tuesday,28,27,20,19,16,39
1080,Lotto 6/42,2023-06-24,40498573.2,0,Saturday,27,15,6,37,20,33
1098,Lotto 6/42,2023-06-22,34824573.8,0,Thursday,19,26,32,9,38,31
1117,Lotto 6/42,2023-06-20,29046723.0,0,Tuesday,14,21,8,36,23,10
1143,Lotto 6/42,2023-06-17,24296322.2,0,Saturday,10,8,21,13,35,26
1161,Lotto 6/42,2023-06-15,19503581.4,0,Thursday,2,29,10,27,26,14
1180,Lotto 6/42,2023-06-13,14897350.4,0,Tuesday,36,16,8,32,9,40
1206,Lotto 6/42,2023-06-10,11161496.8,0,Saturday,12,37,38,19,39,21
1224,Lotto 6/42,2023-06-08,7275065.0,0,Thursday,6,11,36,41,40,7
1243,Lotto 6/42,2023-06-06,5940000.0,0,Tuesday,24,30,25,3,15,4
1269,Lotto 6/42,2023-06-03,42751862.8,2,Saturday,10,3,12,20,7,28
1287,Lotto 6/42,2023-06-01,37029943.0,0,Thursday,26,6,37,29,23,40
1306,Lotto 6/42,2023-05-30,32169509.2,0,Tuesday,39,15,8,7,19,27
1332,Lotto 6/42,2023-05-27,27965455.0,0,Saturday,23,38,37,34,5,21
1350,Lotto 6/42,2023-05-25,23234133.2,0,Thursday,35,15,41,18,37,21
1369,Lotto 6/42,2023-05-23,19162515.2,0,Tuesday,41,16,36,22,24,37
1395,Lotto 6/42,2023-05-20,15393333.2,0,Saturday,21,39,22,18,2,36
