,LOTTO GAME,DRAW DATE,JACKPOT,WINNERS,DAY,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
18,Megalotto 6/45,2023-10-20,20644286.4,0,Friday,15,36,30,37,5,17
36,Megalotto 6/45,2023-10-18,16200622.4,0,Wednesday,36,29,4,26,34,15
55,Megalotto 6/45,2023-10-16,12050940.0,0,Monday,4,15,45,44,40,8
81,Megalotto 6/45,2023-10-13,8910000.0,0,Friday,18,11,32,19,39,33
99,Megalotto 6/45,2023-10-11,8910000.0,0,Wednesday,41,12,13,6,31,5
118,Megalotto 6/45,2023-10-09,81039037.2,3,Monday,34,41,11,1,10,7
144,Megalotto 6/45,2023-10-06,74014064.4,0,Friday,9,45,25,38,26,34
162,Megalotto 6/45,2023-10-04,67396202.6,0,Wednesday,25,2,43,30,32,42
181,Megalotto 6/45,2023-10-02,61119311.2,0,Monday,8,5,38,25,13,29
207,Megalotto 6/45,2023-09-29,55335723.6,0,Friday,23,38,11,27,6,36
225,Megalotto 6/45,2023-09-27,49479090.4,0,Wednesday,34,32,36,42,1,21
244,Megalotto 6/45,2023-09-25,43846346.4,0,Monday,3,31,7,16,33,29
270,Megalotto 6/45,2023-09-22,38308420.2,0,Friday,31,3,20,29,26,37
288,Megalotto 6/45,2023-09-20,33297251.8,0,Wednesday,44,41,29,18,2,13
307,Megalotto 6/45,2023-09-18,28687710.8,0,Monday,37,26,5,16,21,24
333,Megalotto 6/45,2023-09-15,24107633.4,0,Friday,25,44,18,41,11,31
351,Megalotto 6/45,2023-09-13,19693106.0,0,Wednesday,12,41,30,22,43,24
370,Megalotto 6/45,2023-09-11,15456826.6,0,Monday,23,1,5,10,20,6
396,Megalotto 6/45,2023-09-08,11286958.6,0,Friday,33,17,4,43,15,38
414,Megalotto 6/45,2023-09-06,8910000.0,0,Wednesday,12,33,32,8,42,23
433,Megalotto 6/45,2023-09-04,8910000.0,0,Monday,32,39,26,21,37,6
459,Megalotto 6/45,2023-09-01,8910000.0,1,Friday,30,42,39,12,35,18
477,Megalotto 6/45,2023-08-30,8910000.0,0,Wednesday,19,5,37,30,11,23
496,Megalotto 6/45,2023-08-28,101344365.2,1,Monday,9,30,28,45,31,5
522,Megalotto 6/45,2023-08-25,93036829.8,0,Friday,32,12,3,18,38,19
540,Megalotto 6/45,2023-08-23,84909679.0,0,Wednesday,26,43,13,42,45,39
559,Megalotto 6/45,2023-08-21,77430278.4,0,Monday,33,45,9,32,35,13
585,Megalotto 6/45,2023-08-18,70247013.0,0,Friday,42,45,11,10,36,17
603,Megalotto 6/45,2023-08-16,63119481.6,0,Wednesday,3,4,5,40,35,44
622,Megalotto 6/45,2023-08-14,56890798.0,0,Monday,2,44,39,20,37,28
648,Megalotto 6/45,2023-08-11,50807683.6,0,Friday,10,13,42,1,6,24
666,Megalotto 6/45,2023-08-09,44869779.6,0,Wednesday,4,3,39,38,44,12
685,Megalotto 6/45,2023-08-07,39581247.6,0,Monday,25,30,43,10,32,16
711,Megalotto 6/45,2023-08-04,34379987.6,0,Friday,16,39,42,4,30,7
729,Megalotto 6/45,2023-08-02,29337617.0,0,Wednesday,20,10,18,39,14,16
748,Megalotto 6/45,2023-07-31,24717695.8,0,Monday,9,44,35,31,29,7
774,Megalotto 6/45,2023-07-28,19947753.6,0,Friday,36,42,10,23,9,43
792,Megalotto 6/45,2023-07-26,15784001.2,0,Wednesday,12,1,7,41,2,38
811,Megalotto 6/45,2023-07-24,11968794.8,0,Monday,18,21,20,16,38,27
837,Megalotto 6/45,2023-07-21,8910000.0,0,Friday,7,42,26,40,41,13
855,Megalotto 6/45,2023-07-19,8910000.0,0,Wednesday,7,43,6,23,10,11
874,Megalotto 6/45,2023-07-17,42900615.4,1,Monday,31,13,10,37,34,18
900,Megalotto 6/45,2023-07-14,36918981.8,0,Friday,43,12,8,41,15,16
918,Megalotto 6/45,2023-07-12,32004665.0,0,Wednesday,38,2,19,13,21,36
937,Megalotto 6/45,2023-07-10,27153722.8,0,Monday,13,26,38,45,42,41
963,Megalotto 6/45,2023-07-07,22063101.4,0,Friday,33,44,7,31,35,4
981,Megalotto 6/45,2023-07-05,17212938.8,0,Wednesday,24,8,29,18,44,39
1000,Megalotto 6/45,2023-07-03,12913009.6,0,Monday,3,33,19,35,18,29
1026,Megalotto 6/45,2023-06-30,8910000.0,0,Friday,14,32,15,40,8,29
1044,Megalotto 6/45,2023-06-28,8910000.0,0,Wednesday,13,8,3,31,30,43
1063,Megalotto 6/45,2023-06-26,35502637.6,1,Monday,26,40,6,12,44,14
1089,Megalotto 6/45,2023-06-23,30316911.0,0,Friday,42,25,41,24,31,19
1107,Megalotto 6/45,2023-06-21,25237880.0,0,Wednesday,11,22,9,13,31,3
1126,Megalotto 6/45,2023-06-19,20651600.0,0,Monday,42,11,27,10,14,21
1152,Megalotto 6/45,2023-06-16,16187759.2,0,Friday,5,20,15,16,26,33
1170,Megalotto 6/45,2023-06-14,11726344.2,0,Wednesday,40,17,22,10,28,21
1189,Megalotto 6/45,2023-06-12,8910000.0,0,Monday,1,23,43,39,31,3
1215,Megalotto 6/45,2023-06-09,8910000.0,0,Friday,35,14,29,7,8,32
1233,Megalotto 6/45,2023-06-07,8910000.0,1,Wednesday,27,10,18,8,40,36
1252,Megalotto 6/45,2023-06-05,8910000.0,1,Monday,22,8,20,2,1,45
1278,Megalotto 6/45,2023-06-02,41256521.6,1,Friday,25,15,5,11,9,3
1296,Megalotto 6/45,2023-05-31,36212700.8,0,Wednesday,3,17,35,20,23,16
1315,Megalotto 6/45,2023-05-29,31074476.2,0,Monday,13,41,28,22,40,37
1341,Megalotto 6/45,2023-05-26,26074189.0,0,Friday,41,10,30,32,5,15
1359,Megalotto 6/45,2023-05-24,21618284.0,0,Wednesday,6,15,37,45,28,23
1378,Megalotto 6/45,2023-05-22,17256473.4,0,Monday,31,33,22,43,40,19
1404,Megalotto 6/45,2023-05-19,12861234.2,0,Friday,29,10,6,4,36,42
1422,Megalotto 6/45,2023-05-17,8910000.0,0,Wednesday,10,23,34,35,13,37
1441,Megalotto 6/45,2023-05-15,8910000.0,0,Monday,14,8,38,5,25,35
1467,Megalotto 6/45,2023-05-12,225248638.0,1,Friday,14,5,44,25,1,36
1485,Megalotto 6/45,2023-05-10,209772953.6,0,Wednesday,7,5,2,25,41,15
1504,Megalotto 6/45,2023-05-08,196065312.4,0,Monday,4,44,25,40,26,42
1530,Megalotto 6/45,2023-05-05,182616914.8,0,Friday,16,32,39,42,10,15
1548,Megalotto 6/45,2023-05-03,169766543.2,0,Wednesday,27,40,17,4,15,33
1567,Megalotto 6/45,2023-05-01,157534732.4,0,Monday,5,27,20,37,39,24
1593,Megalotto 6/45,2023-04-28,146353791.2,0,Friday,27,15,4,42,38,45
1611,Megalotto 6/45,2023-04-26,135402270.4,0,Wednesday,21,7,34,1,29,25
1630,Megalotto 6/45,2023-04-24,124970728.4,0,Monday,11,45,16,13,42,2
1656,Megalotto 6/45,2023-04-21,114692979.6,0,Friday,30,27,33,6,25,41
1674,Megalotto 6/45,2023-04-19,105579352.0,0,Wednesday,42,44,2,43,37,33
1693,Megalotto 6/45,2023-04-17,96996141.0,0,Monday,42,17,5,41,10,15
1719,Megalotto 6/45,2023-04-14,88604246.4,0,Friday,36,22,30,28,5,13
1737,Megalotto 6/45,2023-04-12,80967403.2,0,Wednesday,21,39,13,8,25,26
1756,Megalotto 6/45,2023-04-10,73769152.8,0,Monday,34,41,43,30,15,28
1765,Megalotto 6/45,2023-04-05,67302457.2,0,Wednesday,42,40,9,26,7,13
1784,Megalotto 6/45,2023-04-03,60618423.0,0,Monday,45,37,28,40,8,42
1810,Megalotto 6/45,2023-03-31,54010257.6,0,Friday,43,37,19,9,20,40
1828,Megalotto 6/45,2023-03-29,47996478.0,0,Wednesday,32,23,31,34,40,29
1847,Megalotto 6/45,2023-03-27,42247790.2,0,Monday,11,7,9,40,43,13
1873,Megalotto 6/45,2023-03-24,36522346.8,0,Friday,32,44,2,37,23,20
1891,Megalotto 6/45,2023-03-22,31345719.8,0,Wednesday,8,2,41,3,23,1
1910,Megalotto 6/45,2023-03-20,26299603.2,0,Monday,11,37,30,17,42,39
1936,Megalotto 6/45,2023-03-17,21347907.0,0,Friday,7,4,43,34,1,27
1954,Megalotto 6/45,2023-03-15,16644551.2,0,Wednesday,13,5,39,18,23,11
1973,Megalotto 6/45,2023-03-13,12249552.0,0,Monday,45,40,34,5,18,9
1999,Megalotto 6/45,2023-03-10,8910000.0,0,Friday,32,31,7,25,36,28
2017,Megalotto 6/45,2023-03-08,8910000.0,0,Wednesday,23,15,25,40,34,24
2036,Megalotto 6/45,2023-03-06,12171239.8,1,Monday,26,43,11,18,5,45
2062,Megalotto 6/45,2023-03-03,8910000.0,0,Friday,30,39,38,25,27,19
2080,Megalotto 6/45,2023-03-01,8910000.0,0,Wednesday,42,44,4,7,1,13
2099,Megalotto 6/45,2023-02-27,11631365.6,2,Monday,25,4,11,35,15,9
2125,Megalotto 6/45,2023-02-24,8910000.0,0,Friday,45,8,10,36,22,38
2143,Megalotto 6/45,2023-02-22,8910000.0,0,Wednesday,31,43,22,27,1,37
2162,Megalotto 6/45,2023-02-20,37251519.8,1,Monday,17,23,31,10,21,14
2188,Megalotto 6/45,2023-02-17,32302097.4,0,Friday,4,43,27,39,44,33
2206,Megalotto 6/45,2023-02-15,27302886.0,0,Wednesday,40,5,30,8,43,14
2225,Megalotto 6/45,2023-02-13,22616692.2,0,Monday,19,42,21,25,32,6
2251,Megalotto 6/45,2023-02-10,17906675.8,0,Friday,43,38,29,9,20,6
2269,Megalotto 6/45,2023-02-08,13332936.4,0,Wednesday,9,20,34,18,16,45
2288,Megalotto 6/45,2023-02-06,9028916.6,0,Monday,12,15,21,38,25,14
2314,Megalotto 6/45,2023-02-03,8910000.0,0,Friday,7,28,5,40,43,11
2332,Megalotto 6/45,2023-02-01,73481247.2,2,Wednesday,37,29,42,21,27,5
2351,Megalotto 6/45,2023-01-30,65996314.6,0,Monday,35,41,18,16,3,20
2377,Megalotto 6/45,2023-01-27,58640551.2,0,Friday,21,29,42,14,37,34
2395,Megalotto 6/45,2023-01-25,51830237.0,0,Wednesday,34,7,32,20,8,29
2414,Megalotto 6/45,2023-01-23,45306612.8,0,Monday,32,7,33,18,39,15
2440,Megalotto 6/45,2023-01-20,38939521.6,0,Friday,45,28,39,5,34,21
2458,Megalotto 6/45,2023-01-18,33413112.0,0,Wednesday,37,3,5,7,10,38
2477,Megalotto 6/45,2023-01-16,28062057.8,0,Monday,31,32,16,9,13,15
2503,Megalotto 6/45,2023-01-13,22853784.8,0,Friday,9,18,33,39,35,14
2521,Megalotto 6/45,2023-01-11,17942381.6,0,Wednesday,45,15,31,29,20,30
2540,Megalotto 6/45,2023-01-09,13374009.0,0,Monday,33,25,9,45,28,5
2566,Megalotto 6/45,2023-01-06,8910000.0,0,Friday,41,33,4,44,12,6
2584,Megalotto 6/45,2023-01-04,8910000.0,0,Wednesday,37,7,38,24,31,45
2603,Megalotto 6/45,2023-01-02,19503337.0,1,Monday,4,26,38,15,34,17
2621,Megalotto 6/45,2022-12-30,15200497.6,0,Friday,27,28,40,14,3,34
2639,Megalotto 6/45,2022-12-28,9212113.0,0,Wednesday,34,8,11,18,10,38
2658,Megalotto 6/45,2022-12-26,8910000.0,0,Monday,11,39,8,36,6,42
2676,Megalotto 6/45,2022-12-23,114327454.0,1,Friday,11,21,1,12,17,3
2694,Megalotto 6/45,2022-12-21,104831145.2,0,Wednesday,13,43,4,31,25,35
2713,Megalotto 6/45,2022-12-19,96600838.4,0,Monday,9,4,11,19,14,8
2739,Megalotto 6/45,2022-12-16,89341826.4,0,Friday,30,6,9,21,15,36
