,LOTTO GAME,DRAW DATE,JACKPOT,WINNERS,DAY,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
1,Superlotto 6/49,2023-10-22,15840000.0,0,Sunday,13,8,38,44,31,11
26,Superlotto 6/49,2023-10-19,15840000.0,1,Thursday,26,31,41,14,5,10
45,Superlotto 6/49,2023-10-17,15840000.0,0,Tuesday,2,20,33,32,13,48
64,Superlotto 6/49,2023-10-15,147354716.4,1,Sunday,47,35,2,13,38,17
89,Superlotto 6/49,2023-10-12,136165815.6,0,Thursday,25,39,2,33,26,22
108,Superlotto 6/49,2023-10-10,126631688.8,0,Tuesday,3,14,26,13,17,39
127,Superlotto 6/49,2023-10-08,118184111.2,0,Sunday,47,43,35,20,29,13
152,Superlotto 6/49,2023-10-05,109025555.2,0,Thursday,37,20,41,5,46,35
171,Superlotto 6/49,2023-10-03,100976080.8,0,Tuesday,47,42,29,28,9,32
190,Superlotto 6/49,2023-10-01,93985505.2,0,Sunday,6,2,46,38,45,39
215,Superlotto 6/49,2023-09-28,88391773.6,0,Thursday,34,19,14,25,18,10
234,Superlotto 6/49,2023-09-26,81759903.4,0,Tuesday,33,42,21,38,19,24
253,Superlotto 6/49,2023-09-24,75560208.8,0,Sunday,4,38,21,24,23,20
278,Superlotto 6/49,2023-09-21,68675891.0,0,Thursday,25,24,17,23,3,31
297,Superlotto 6/49,2023-09-19,63053989.6,0,Tuesday,2,33,38,17,28,41
316,Superlotto 6/49,2023-09-17,58557629.8,0,Sunday,26,3,46,34,15,20
341,Superlotto 6/49,2023-09-14,53305892.6,0,Thursday,30,33,46,26,42,38
360,Superlotto 6/49,2023-09-12,47666758.8,0,Tuesday,36,23,31,9,12,29
379,Superlotto 6/49,2023-09-10,43302652.4,0,Sunday,42,1,22,44,15,3
404,Superlotto 6/49,2023-09-07,38205605.0,0,Thursday,6,15,20,38,43,7
423,Superlotto 6/49,2023-09-05,33786391.2,0,Tuesday,3,12,24,17,44,43
442,Superlotto 6/49,2023-09-03,30390963.0,0,Sunday,32,29,10,45,17,30
467,Superlotto 6/49,2023-08-31,26027300.4,0,Thursday,30,47,10,31,49,26
486,Superlotto 6/49,2023-08-29,21968667.8,0,Tuesday,2,9,37,43,13,38
