,LOTTO GAME,DRAW DATE,JACKPOT,WINNERS,DAY,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
0,Ultra Lotto 6/58,2023-10-22,57271281.8,0,Sunday,11,37,44,33,13,28
17,Ultra Lotto 6/58,2023-10-20,52222306.8,0,Friday,25,54,48,50,37,29
44,Ultra Lotto 6/58,2023-10-17,49500000.0,0,Tuesday,51,48,44,5,14,12
63,Ultra Lotto 6/58,2023-10-15,49500000.0,0,Sunday,56,53,40,6,35,42
80,Ultra Lotto 6/58,2023-10-13,49500000.0,0,Friday,34,51,20,55,23,2
107,Ultra Lotto 6/58,2023-10-10,49500000.0,0,Tuesday,16,57,27,28,24,47
126,Ultra Lotto 6/58,2023-10-08,49500000.0,0,Sunday,19,16,33,13,10,47
143,Ultra Lotto 6/58,2023-10-06,49500000.0,0,Friday,19,30,6,29,43,48
170,Ultra Lotto 6/58,2023-10-03,49500000.0,0,Tuesday,45,32,11,19,35,34
189,Ultra Lotto 6/58,2023-10-01,49500000.0,0,Sunday,55,34,30,25,43,8
206,Ultra Lotto 6/58,2023-09-29,49500000.0,0,Friday,4,42,22,10,21,16
233,Ultra Lotto 6/58,2023-09-26,49500000.0,0,Tuesday,56,14,25,23,22,40
252,Ultra Lotto 6/58,2023-09-24,49500000.0,0,Sunday,30,20,27,28,38,42
269,Ultra Lotto 6/58,2023-09-22,49500000.0,0,Friday,10,12,31,36,58,19
296,Ultra Lotto 6/58,2023-09-19,77455718.4,1,Tuesday,7,10,9,13,21,19
315,Ultra Lotto 6/58,2023-09-17,72922751.0,0,Sunday,27,16,21,31,56,1
332,Ultra Lotto 6/58,2023-09-15,68037849.4,0,Friday,28,41,25,29,54,37
359,Ultra Lotto 6/58,2023-09-12,62389446.4,0,Tuesday,9,46,8,53,30,47
378,Ultra Lotto 6/58,2023-09-10,58002406.0,0,Sunday,58,2,15,35,28,12
395,Ultra Lotto 6/58,2023-09-08,53095488.8,0,Friday,40,52,3,54,14,35
422,Ultra Lotto 6/58,2023-09-05,49500000.0,0,Tuesday,57,8,24,22,1,26
441,Ultra Lotto 6/58,2023-09-03,49500000.0,0,Sunday,51,8,56,18,37,9
458,Ultra Lotto 6/58,2023-09-01,49500000.0,0,Friday,2,44,55,51,4,30
485,Ultra Lotto 6/58,2023-08-29,49500000.0,0,Tuesday,3,18,10,45,37,24
504,Ultra Lotto 6/58,2023-08-27,49500000.0,0,Sunday,6,50,57,45,13,56
521,Ultra Lotto 6/58,2023-08-25,49500000.0,0,Friday,15,30,6,5,13,52
548,Ultra Lotto 6/58,2023-08-22,49500000.0,0,Tuesday,38,15,11,55,10,52
567,Ultra Lotto 6/58,2023-08-20,49500000.0,0,Sunday,15,2,20,57,19,10
584,Ultra Lotto 6/58,2023-08-18,49500000.0,0,Friday,3,36,38,25,23,22
611,Ultra Lotto 6/58,2023-08-15,49500000.0,0,Tuesday,26,41,30,22,13,31
630,Ultra Lotto 6/58,2023-08-13,49500000.0,0,Sunday,31,15,7,37,24,25
647,Ultra Lotto 6/58,2023-08-11,49500000.0,1,Friday,50,46,57,40,4,19
674,Ultra Lotto 6/58,2023-08-08,87051450.2,1,Tuesday,18,22,30,55,26,5
693,Ultra Lotto 6/58,2023-08-06,81063971.8,0,Sunday,41,20,19,16,42,46
710,Ultra Lotto 6/58,2023-08-04,74836568.8,0,Friday,56,37,11,17,32,6
737,Ultra Lotto 6/58,2023-08-01,68600405.4,0,Tuesday,15,52,7,47,31,41
756,Ultra Lotto 6/58,2023-07-30,63297912.4,0,Sunday,48,29,10,49,52,16
773,Ultra Lotto 6/58,2023-07-28,57688799.4,0,Friday,37,1,23,54,43,50
800,Ultra Lotto 6/58,2023-07-25,52505425.8,0,Tuesday,9,43,12,20,45,23
819,Ultra Lotto 6/58,2023-07-23,49500000.0,0,Sunday,23,5,3,22,58,47
836,Ultra Lotto 6/58,2023-07-21,49500000.0,0,Friday,57,36,49,31,15,33
863,Ultra Lotto 6/58,2023-07-18,49500000.0,0,Tuesday,12,16,44,47,30,2
882,Ultra Lotto 6/58,2023-07-16,49500000.0,0,Sunday,28,32,56,29,1,41
899,Ultra Lotto 6/58,2023-07-14,49500000.0,0,Friday,15,37,2,48,22,51
926,Ultra Lotto 6/58,2023-07-11,49500000.0,0,Tuesday,33,37,14,49,3,34
945,Ultra Lotto 6/58,2023-07-09,49500000.0,0,Sunday,50,10,49,53,14,16
962,Ultra Lotto 6/58,2023-07-07,49500000.0,0,Friday,3,56,2,22,46,6
989,Ultra Lotto 6/58,2023-07-04,49500000.0,0,Tuesday,8,51,28,18,37,23
1008,Ultra Lotto 6/58,2023-07-02,49500000.0,0,Sunday,41,12,57,39,56,2
1025,Ultra Lotto 6/58,2023-06-30,366687465.2,1,Friday,43,58,37,47,27,17
1052,Ultra Lotto 6/58,2023-06-27,343618797.6,0,Tuesday,28,19,24,35,38,37
1071,Ultra Lotto 6/58,2023-06-25,325862813.2,0,Sunday,21,40,54,29,6,32
1088,Ultra Lotto 6/58,2023-06-23,309763376.0,0,Friday,2,31,47,27,49,55
1115,Ultra Lotto 6/58,2023-06-20,292700994.4,0,Tuesday,9,26,27,33,43,11
1134,Ultra Lotto 6/58,2023-06-18,279303056.0,0,Sunday,9,12,51,7,15,18
1151,Ultra Lotto 6/58,2023-06-16,265998969.6,0,Friday,50,10,27,36,19,38
1178,Ultra Lotto 6/58,2023-06-13,251297399.2,0,Tuesday,42,18,14,37,56,27
1197,Ultra Lotto 6/58,2023-06-11,239314610.8,0,Sunday,19,5,55,44,41,46
1214,Ultra Lotto 6/58,2023-06-09,227492479.6,0,Friday,34,47,30,26,7,46
1241,Ultra Lotto 6/58,2023-06-06,213655359.6,0,Tuesday,8,30,14,9,54,39
1260,Ultra Lotto 6/58,2023-06-04,202796480.8,0,Sunday,31,4,52,54,10,56
1277,Ultra Lotto 6/58,2023-06-02,193037324.8,0,Friday,48,45,36,39,13,38
1304,Ultra Lotto 6/58,2023-05-30,182881860.8,0,Tuesday,46,49,31,54,19,47
1323,Ultra Lotto 6/58,2023-05-28,174542061.2,0,Sunday,10,47,27,14,18,28
1340,Ultra Lotto 6/58,2023-05-26,165996548.4,0,Friday,35,8,10,11,36,28
1367,Ultra Lotto 6/58,2023-05-23,156821760.8,0,Tuesday,4,23,26,36,5,15
1386,Ultra Lotto 6/58,2023-05-21,149139576.4,0,Sunday,54,46,11,6,15,50
1403,Ultra Lotto 6/58,2023-05-19,141414346.8,0,Friday,46,28,3,43,2,50
1430,Ultra Lotto 6/58,2023-05-16,132641406.8,0,Tuesday,28,41,45,23,58,38
1449,Ultra Lotto 6/58,2023-05-14,125342321.6,0,Sunday,18,44,57,6,23,12
1466,Ultra Lotto 6/58,2023-05-12,118372607.2,0,Friday,56,4,44,12,39,37
1493,Ultra Lotto 6/58,2023-05-09,111548128.0,0,Tuesday,5,28,39,40,16,1
1512,Ultra Lotto 6/58,2023-05-07,106085541.2,0,Sunday,44,33,26,17,38,11
1529,Ultra Lotto 6/58,2023-05-05,99901922.0,0,Friday,38,4,14,22,29,55
1556,Ultra Lotto 6/58,2023-05-02,94275101.0,0,Tuesday,16,50,7,19,40,30
1575,Ultra Lotto 6/58,2023-04-30,89504361.6,0,Sunday,10,31,41,55,15,12
1592,Ultra Lotto 6/58,2023-04-28,84306969.8,0,Friday,40,22,5,12,10,34
1619,Ultra Lotto 6/58,2023-04-25,79496752.2,0,Tuesday,31,53,10,32,43,45
1638,Ultra Lotto 6/58,2023-04-23,74859611.8,0,Sunday,25,57,3,58,9,36
1655,Ultra Lotto 6/58,2023-04-21,69889955.4,0,Friday,44,39,23,25,21,42
1682,Ultra Lotto 6/58,2023-04-18,65545490.6,0,Tuesday,48,34,8,4,13,53
1701,Ultra Lotto 6/58,2023-04-16,61846959.2,0,Sunday,21,17,20,46,54,56
1718,Ultra Lotto 6/58,2023-04-14,56926016.0,0,Friday,34,3,46,42,52,54
1745,Ultra Lotto 6/58,2023-04-11,52596622.2,0,Tuesday,41,55,20,32,47,57
1773,Ultra Lotto 6/58,2023-04-04,49500000.0,0,Tuesday,39,43,34,52,24,35
1792,Ultra Lotto 6/58,2023-04-02,49500000.0,0,Sunday,57,26,21,52,42,3
1809,Ultra Lotto 6/58,2023-03-31,49500000.0,0,Friday,30,36,5,32,51,13
1836,Ultra Lotto 6/58,2023-03-28,49500000.0,0,Tuesday,2,55,38,34,9,24
